"","GeneID","Chr","n.866","n.942","n.900","n.IXa","meanDivW","meanDivE","meanDivTotal"
"365","CTYZ_00002430","Ctyz_2",3,2,1,2,2.5,2,2
"366","CTYZ_00002432","Ctyz_2",2,NA,1,1,NA,1,NA
"367","CTYZ_00002433","Ctyz_2",3,NA,NA,1,NA,1,NA
"368","CTYZ_00002435","Ctyz_2",1,NA,NA,NA,NA,NA,NA
"369","CTYZ_00002436","Ctyz_2",1,4,3,2,2.5,2,2.5
"370","CTYZ_00002446","Ctyz_2",1,1,NA,NA,1,NA,NA
"371","CTYZ_00002449","Ctyz_2",1,1,1,1,1,1,1
"372","CTYZ_00002450","Ctyz_2",1,1,NA,NA,1,NA,NA
"373","CTYZ_00002451","Ctyz_2",2,3,3,1,2.5,1,2.25
"374","CTYZ_00002453","Ctyz_2",1,10,1,1,5.5,1,3.25
"375","CTYZ_00002454","Ctyz_2",2,6,1,3,4,3,3
"376","CTYZ_00002458","Ctyz_2",4,5,1,2,4.5,2,3
"377","CTYZ_00002459","Ctyz_2",3,9,3,3,6,3,4.5
"378","CTYZ_00002462","Ctyz_2",3,1,NA,NA,2,NA,NA
"379","CTYZ_00002464","Ctyz_2",1,3,1,1,2,1,1.5
"380","CTYZ_00002466","Ctyz_2",1,2,NA,2,1.5,2,NA
"381","CTYZ_00002474","Ctyz_2",2,2,1,2,2,2,1.75
"382","CTYZ_00002476","Ctyz_2",1,3,NA,1,2,1,NA
"383","CTYZ_00002477","Ctyz_2",3,4,1,3,3.5,3,2.75
"384","CTYZ_00002478","Ctyz_2",3,1,NA,NA,2,NA,NA
"385","CTYZ_00002479","Ctyz_2",1,6,1,1,3.5,1,2.25
"386","CTYZ_00002481","Ctyz_2",9,8,2,6,8.5,6,6.25
"387","CTYZ_00002484","Ctyz_2",1,2,2,1,1.5,1,1.5
"388","CTYZ_00002485","Ctyz_2",1,5,NA,1,3,1,NA
"389","CTYZ_00002487","Ctyz_2",1,3,2,NA,2,NA,NA
"390","CTYZ_00002489","Ctyz_2",1,NA,NA,NA,NA,NA,NA
"391","CTYZ_00002497","Ctyz_2",1,4,NA,1,2.5,1,NA
"392","CTYZ_00002499","Ctyz_2",1,NA,NA,1,NA,1,NA
"393","CTYZ_00002500","Ctyz_2",2,13,3,3,7.5,3,5.25
"394","CTYZ_00002501","Ctyz_2",1,2,NA,2,1.5,2,NA
"395","CTYZ_00002503","Ctyz_2",5,18,11,8,11.5,8,10.5
"396","CTYZ_00002504","Ctyz_2",17,11,1,21,14,21,12.5
"397","CTYZ_00002505","Ctyz_2",2,4,2,3,3,3,2.75
"398","CTYZ_00002506","Ctyz_2",18,12,6,23,15,23,14.75
"399","CTYZ_00002508","Ctyz_2",1,3,NA,2,2,2,NA
"400","CTYZ_00002509","Ctyz_2",4,7,3,4,5.5,4,4.5
"401","CTYZ_00002510","Ctyz_2",1,2,1,2,1.5,2,1.5
"402","CTYZ_00002513","Ctyz_2",4,4,NA,2,4,2,NA
"403","CTYZ_00002514","Ctyz_2",3,1,NA,NA,2,NA,NA
"404","CTYZ_00002515","Ctyz_2",1,1,NA,1,1,1,NA
"405","CTYZ_00002516","Ctyz_2",1,5,3,1,3,1,2.5
"406","CTYZ_00002517","Ctyz_2",2,5,1,2,3.5,2,2.5
"407","CTYZ_00002519","Ctyz_2",1,3,NA,NA,2,NA,NA
"408","CTYZ_00002520","Ctyz_2",4,3,1,5,3.5,5,3.25
"409","CTYZ_00002522","Ctyz_2",1,5,10,1,3,1,4.25
"410","CTYZ_00002523","Ctyz_2",2,NA,2,2,NA,2,NA
"411","CTYZ_00002524","Ctyz_2",1,4,1,1,2.5,1,1.75
"412","CTYZ_00002526","Ctyz_2",2,7,1,3,4.5,3,3.25
"413","CTYZ_00002528","Ctyz_2",1,1,NA,1,1,1,NA
"414","CTYZ_00002533","Ctyz_2",1,NA,NA,NA,NA,NA,NA
"415","CTYZ_00002534","Ctyz_2",4,5,3,3,4.5,3,3.75
"416","CTYZ_00002540","Ctyz_2",1,5,NA,NA,3,NA,NA
"417","CTYZ_00002541","Ctyz_2",11,3,2,2,7,2,4.5
"418","CTYZ_00002544","Ctyz_2",6,5,NA,5,5.5,5,NA
"419","CTYZ_00002545","Ctyz_2",7,7,2,9,7,9,6.25
"420","CTYZ_00002546","Ctyz_2",3,NA,1,1,NA,1,NA
"421","CTYZ_00002547","Ctyz_2",2,NA,NA,NA,NA,NA,NA
"422","CTYZ_00002548","Ctyz_2",13,6,3,4,9.5,4,6.5
"423","CTYZ_00002549","Ctyz_2",2,2,NA,2,2,2,NA
"424","CTYZ_00002550","Ctyz_2",1,2,3,1,1.5,1,1.75
"425","CTYZ_00002551","Ctyz_2",1,2,NA,3,1.5,3,NA
"426","CTYZ_00002552","Ctyz_2",3,3,1,2,3,2,2.25
"427","CTYZ_00002553","Ctyz_2",44,8,3,11,26,11,16.5
"428","CTYZ_00002554","Ctyz_2",1,NA,NA,NA,NA,NA,NA
"429","CTYZ_00002558","Ctyz_2",2,3,1,3,2.5,3,2.25
"430","CTYZ_00002559","Ctyz_2",4,6,2,6,5,6,4.5
"431","CTYZ_00002560","Ctyz_2",1,2,NA,3,1.5,3,NA
"432","CTYZ_00002561","Ctyz_2",11,8,6,23,9.5,23,12
"433","CTYZ_00002562","Ctyz_2",4,3,1,3,3.5,3,2.75
"434","CTYZ_00002563","Ctyz_2",4,10,NA,8,7,8,NA
"435","CTYZ_00002564","Ctyz_2",1,4,NA,2,2.5,2,NA
"436","CTYZ_00002565","Ctyz_2",1,5,NA,NA,3,NA,NA
"437","CTYZ_00002566","Ctyz_2",3,4,1,1,3.5,1,2.25
"438","CTYZ_00002569","Ctyz_2",1,3,3,1,2,1,2
"439","CTYZ_00002570","Ctyz_2",5,NA,NA,1,NA,1,NA
"440","CTYZ_00002572","Ctyz_2",3,2,NA,3,2.5,3,NA
"441","CTYZ_00002573","Ctyz_2",1,1,NA,NA,1,NA,NA
"442","CTYZ_00002574","Ctyz_2",2,3,NA,3,2.5,3,NA
"443","CTYZ_00002575","Ctyz_2",6,7,2,2,6.5,2,4.25
"444","CTYZ_00002577","Ctyz_2",8,8,1,10,8,10,6.75
"445","CTYZ_00002578","Ctyz_2",1,5,NA,6,3,6,NA
"446","CTYZ_00002579","Ctyz_2",5,7,4,4,6,4,5
"447","CTYZ_00002580","Ctyz_2",3,4,1,2,3.5,2,2.5
"448","CTYZ_00002581","Ctyz_2",2,5,2,NA,3.5,NA,NA
"449","CTYZ_00002582","Ctyz_2",1,2,NA,1,1.5,1,NA
"450","CTYZ_00002584","Ctyz_2",6,8,3,3,7,3,5
"451","CTYZ_00002585","Ctyz_2",1,2,1,2,1.5,2,1.5
"452","CTYZ_00002587","Ctyz_2",1,1,NA,1,1,1,NA
"453","CTYZ_00002589","Ctyz_2",2,3,1,3,2.5,3,2.25
"454","CTYZ_00002590","Ctyz_2",1,NA,2,NA,NA,NA,NA
"455","CTYZ_00002591","Ctyz_2",1,1,1,NA,1,NA,NA
"456","CTYZ_00002592","Ctyz_2",7,4,3,4,5.5,4,4.5
"457","CTYZ_00002593","Ctyz_2",2,11,4,3,6.5,3,5
"458","CTYZ_00002594","Ctyz_2",1,6,1,NA,3.5,NA,NA
"459","CTYZ_00002595","Ctyz_2",3,2,3,4,2.5,4,3
"460","CTYZ_00002598","Ctyz_2",4,11,2,5,7.5,5,5.5
"461","CTYZ_00002599","Ctyz_2",9,11,4,9,10,9,8.25
"462","CTYZ_00002600","Ctyz_2",9,9,4,14,9,14,9
"463","CTYZ_00002601","Ctyz_2",7,40,11,49,23.5,49,26.75
"464","CTYZ_00002602","Ctyz_2",20,7,NA,26,13.5,26,NA
"465","CTYZ_00002603","Ctyz_2",6,19,6,18,12.5,18,12.25
"466","CTYZ_00002604","Ctyz_2",6,12,4,16,9,16,9.5
"467","CTYZ_00002605","Ctyz_2",6,8,2,5,7,5,5.25
"468","CTYZ_00002606","Ctyz_2",2,4,NA,5,3,5,NA
"469","CTYZ_00002607","Ctyz_2",1,6,1,1,3.5,1,2.25
"470","CTYZ_00002609","Ctyz_2",9,29,8,16,19,16,15.5
"471","CTYZ_00002610","Ctyz_2",11,18,8,8,14.5,8,11.25
"472","CTYZ_00002611","Ctyz_2",5,6,NA,4,5.5,4,NA
"473","CTYZ_00002612","Ctyz_2",3,NA,NA,3,NA,3,NA
"474","CTYZ_00002613","Ctyz_2",4,7,3,4,5.5,4,4.5
"475","CTYZ_00002617","Ctyz_2",1,NA,NA,NA,NA,NA,NA
"476","CTYZ_00002618","Ctyz_2",2,3,1,2,2.5,2,2
"477","CTYZ_00002619","Ctyz_2",1,3,3,1,2,1,2
"478","CTYZ_00002621","Ctyz_2",13,23,6,12,18,12,13.5
"479","CTYZ_00002622","Ctyz_2",7,8,8,8,7.5,8,7.75
"480","CTYZ_00002623","Ctyz_2",3,3,NA,2,3,2,NA
"481","CTYZ_00002624","Ctyz_2",2,1,1,1,1.5,1,1.25
"482","CTYZ_00002625","Ctyz_2",4,3,1,3,3.5,3,2.75
"483","CTYZ_00002626","Ctyz_2",5,7,NA,4,6,4,NA
"484","CTYZ_00002627","Ctyz_2",3,4,1,6,3.5,6,3.5
"485","CTYZ_00002628","Ctyz_2",1,1,NA,1,1,1,NA
"486","CTYZ_00002630","Ctyz_2",6,4,2,8,5,8,5
"487","CTYZ_00002631","Ctyz_2",2,NA,NA,2,NA,2,NA
"488","CTYZ_00002632","Ctyz_2",1,2,1,1,1.5,1,1.25
"489","CTYZ_00002633","Ctyz_2",2,2,2,3,2,3,2.25
"490","CTYZ_00002635","Ctyz_2",6,4,3,6,5,6,4.75
"491","CTYZ_00002636","Ctyz_2",2,2,NA,2,2,2,NA
"492","CTYZ_00002637","Ctyz_2",3,5,2,5,4,5,3.75
"493","CTYZ_00002639","Ctyz_2",8,8,3,11,8,11,7.5
"494","CTYZ_00002640","Ctyz_2",3,9,NA,4,6,4,NA
"495","CTYZ_00002641","Ctyz_2",1,2,NA,1,1.5,1,NA
"496","CTYZ_00002642","Ctyz_2",8,15,1,15,11.5,15,9.75
"497","CTYZ_00002643","Ctyz_2",7,1,NA,NA,4,NA,NA
"498","CTYZ_00002645","Ctyz_2",1,2,1,11,1.5,11,3.75
"499","CTYZ_00002646","Ctyz_2",1,NA,NA,1,NA,1,NA
"500","CTYZ_00002647","Ctyz_2",1,2,1,NA,1.5,NA,NA
"501","CTYZ_00002649","Ctyz_2",1,2,NA,1,1.5,1,NA
"502","CTYZ_00002650","Ctyz_2",1,1,NA,NA,1,NA,NA
"503","CTYZ_00002651","Ctyz_2",2,3,1,2,2.5,2,2
"504","CTYZ_00002652","Ctyz_2",1,3,3,NA,2,NA,NA
"505","CTYZ_00002654","Ctyz_2",1,1,1,1,1,1,1
"506","CTYZ_00002655","Ctyz_2",2,4,2,2,3,2,2.5
"507","CTYZ_00002656","Ctyz_2",1,2,2,NA,1.5,NA,NA
"508","CTYZ_00002657","Ctyz_2",7,6,2,6,6.5,6,5.25
"509","CTYZ_00002658","Ctyz_2",3,3,1,2,3,2,2.25
"510","CTYZ_00002659","Ctyz_2",4,4,NA,1,4,1,NA
"511","CTYZ_00002662","Ctyz_2",1,8,1,1,4.5,1,2.75
"512","CTYZ_00002664","Ctyz_2",1,NA,NA,1,NA,1,NA
"513","CTYZ_00002671","Ctyz_2",2,3,NA,2,2.5,2,NA
"514","CTYZ_00002675","Ctyz_2",4,3,3,5,3.5,5,3.75
"515","CTYZ_00002676","Ctyz_2",1,3,1,2,2,2,1.75
"516","CTYZ_00002677","Ctyz_2",2,1,1,2,1.5,2,1.5
"517","CTYZ_00002678","Ctyz_2",4,5,3,5,4.5,5,4.25
"518","CTYZ_00002680","Ctyz_2",6,6,2,5,6,5,4.75
"519","CTYZ_00002681","Ctyz_2",2,3,1,2,2.5,2,2
"520","CTYZ_00002683","Ctyz_2",4,3,2,1,3.5,1,2.5
"521","CTYZ_00002685","Ctyz_2",1,2,2,2,1.5,2,1.75
"522","CTYZ_00002690","Ctyz_2",3,2,1,2,2.5,2,2
"523","CTYZ_00002691","Ctyz_2",3,6,3,5,4.5,5,4.25
"524","CTYZ_00002692","Ctyz_2",3,NA,1,NA,NA,NA,NA
"525","CTYZ_00002693","Ctyz_2",20,21,3,22,20.5,22,16.5
"526","CTYZ_00002695","Ctyz_2",4,4,3,5,4,5,4
"527","CTYZ_00002697","Ctyz_2",2,1,1,1,1.5,1,1.25
"528","CTYZ_00002702","Ctyz_2",5,6,4,10,5.5,10,6.25
"529","CTYZ_00002703","Ctyz_2",5,3,NA,2,4,2,NA
"530","CTYZ_00002705","Ctyz_3",36,93,7,128,64.5,128,66
"531","CTYZ_00002706","Ctyz_3",1,1,NA,1,1,1,NA
"532","CTYZ_00002707","Ctyz_3",1,1,NA,NA,1,NA,NA
"533","CTYZ_00002708","Ctyz_3",2,NA,1,NA,NA,NA,NA
"534","CTYZ_00002709","Ctyz_3",2,2,NA,NA,2,NA,NA
"535","CTYZ_00002713","Ctyz_3",21,3,1,3,12,3,7
"536","CTYZ_00002714","Ctyz_3",49,3,NA,23,26,23,NA
"537","CTYZ_00002715","Ctyz_3",23,23,NA,27,23,27,NA
"538","CTYZ_00002716","Ctyz_3",1,3,1,3,2,3,2
"539","CTYZ_00002717","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"540","CTYZ_00002718","Ctyz_3",3,1,2,4,2,4,2.5
"541","CTYZ_00002719","Ctyz_3",3,4,NA,4,3.5,4,NA
"542","CTYZ_00002720","Ctyz_3",3,3,2,3,3,3,2.75
"543","CTYZ_00002723","Ctyz_3",1,8,1,8,4.5,8,4.5
"544","CTYZ_00002724","Ctyz_3",2,2,NA,2,2,2,NA
"545","CTYZ_00002725","Ctyz_3",3,1,2,3,2,3,2.25
"546","CTYZ_00002727","Ctyz_3",16,13,4,19,14.5,19,13
"547","CTYZ_00002728","Ctyz_3",3,1,1,3,2,3,2
"548","CTYZ_00002729","Ctyz_3",6,1,NA,2,3.5,2,NA
"549","CTYZ_00002730","Ctyz_3",5,6,NA,6,5.5,6,NA
"550","CTYZ_00002731","Ctyz_3",4,6,2,6,5,6,4.5
"551","CTYZ_00002732","Ctyz_3",18,13,6,28,15.5,28,16.25
"552","CTYZ_00002733","Ctyz_3",3,6,4,6,4.5,6,4.75
"553","CTYZ_00002734","Ctyz_3",5,2,1,4,3.5,4,3
"554","CTYZ_00002735","Ctyz_3",1,7,4,3,4,3,3.75
"555","CTYZ_00002736","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"556","CTYZ_00002741","Ctyz_3",1,1,1,2,1,2,1.25
"557","CTYZ_00002742","Ctyz_3",2,1,1,1,1.5,1,1.25
"558","CTYZ_00002743","Ctyz_3",1,2,NA,1,1.5,1,NA
"559","CTYZ_00002744","Ctyz_3",5,15,2,7,10,7,7.25
"560","CTYZ_00002745","Ctyz_3",5,2,1,3,3.5,3,2.75
"561","CTYZ_00002746","Ctyz_3",9,5,1,4,7,4,4.75
"562","CTYZ_00002747","Ctyz_3",5,5,5,6,5,6,5.25
"563","CTYZ_00002748","Ctyz_3",2,2,3,1,2,1,2
"564","CTYZ_00002749","Ctyz_3",16,14,4,10,15,10,11
"565","CTYZ_00002750","Ctyz_3",2,5,2,2,3.5,2,2.75
"566","CTYZ_00002751","Ctyz_3",1,1,NA,2,1,2,NA
"567","CTYZ_00002752","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"568","CTYZ_00002755","Ctyz_3",1,1,2,1,1,1,1.25
"569","CTYZ_00002757","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"570","CTYZ_00002759","Ctyz_3",3,2,1,2,2.5,2,2
"571","CTYZ_00002760","Ctyz_3",1,2,1,NA,1.5,NA,NA
"572","CTYZ_00002761","Ctyz_3",11,12,6,5,11.5,5,8.5
"573","CTYZ_00002763","Ctyz_3",2,2,1,3,2,3,2
"574","CTYZ_00002764","Ctyz_3",2,4,NA,5,3,5,NA
"575","CTYZ_00002765","Ctyz_3",4,1,1,3,2.5,3,2.25
"576","CTYZ_00002766","Ctyz_3",6,2,NA,3,4,3,NA
"577","CTYZ_00002767","Ctyz_3",2,1,NA,2,1.5,2,NA
"578","CTYZ_00002768","Ctyz_3",7,21,6,9,14,9,10.75
"579","CTYZ_00002770","Ctyz_3",2,NA,1,1,NA,1,NA
"580","CTYZ_00002771","Ctyz_3",4,5,1,5,4.5,5,3.75
"581","CTYZ_00002773","Ctyz_3",8,3,NA,4,5.5,4,NA
"582","CTYZ_00002774","Ctyz_3",16,4,34,1,10,1,13.75
"583","CTYZ_00002777","Ctyz_3",1,1,NA,1,1,1,NA
"584","CTYZ_00002778","Ctyz_3",3,3,1,2,3,2,2.25
"585","CTYZ_00002779","Ctyz_3",3,3,1,2,3,2,2.25
"586","CTYZ_00002782","Ctyz_3",1,3,1,3,2,3,2
"587","CTYZ_00002784","Ctyz_3",3,3,2,6,3,6,3.5
"588","CTYZ_00002785","Ctyz_3",73,95,23,96,84,96,71.75
"589","CTYZ_00002786","Ctyz_3",3,3,1,2,3,2,2.25
"590","CTYZ_00002787","Ctyz_3",1,2,NA,1,1.5,1,NA
"591","CTYZ_00002788","Ctyz_3",3,NA,NA,NA,NA,NA,NA
"592","CTYZ_00002789","Ctyz_3",1,NA,1,NA,NA,NA,NA
"593","CTYZ_00002791","Ctyz_3",1,NA,NA,1,NA,1,NA
"594","CTYZ_00002793","Ctyz_3",1,2,2,1,1.5,1,1.5
"595","CTYZ_00002794","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"596","CTYZ_00002795","Ctyz_3",3,4,1,2,3.5,2,2.5
"597","CTYZ_00002804","Ctyz_3",6,1,2,NA,3.5,NA,NA
"598","CTYZ_00002805","Ctyz_3",1,2,NA,NA,1.5,NA,NA
"599","CTYZ_00002806","Ctyz_3",1,1,1,1,1,1,1
"600","CTYZ_00002807","Ctyz_3",1,3,1,1,2,1,1.5
"601","CTYZ_00002808","Ctyz_3",1,2,NA,1,1.5,1,NA
"602","CTYZ_00002811","Ctyz_3",1,3,1,3,2,3,2
"603","CTYZ_00002814","Ctyz_3",1,3,1,NA,2,NA,NA
"604","CTYZ_00002818","Ctyz_3",11,7,1,1,9,1,5
"605","CTYZ_00002821","Ctyz_3",3,9,2,6,6,6,5
"606","CTYZ_00002823","Ctyz_3",2,1,NA,1,1.5,1,NA
"607","CTYZ_00002824","Ctyz_3",3,3,NA,2,3,2,NA
"608","CTYZ_00002826","Ctyz_3",22,19,10,13,20.5,13,16
"609","CTYZ_00002827","Ctyz_3",7,2,1,1,4.5,1,2.75
"610","CTYZ_00002829","Ctyz_3",3,3,2,3,3,3,2.75
"611","CTYZ_00002830","Ctyz_3",5,12,1,1,8.5,1,4.75
"612","CTYZ_00002831","Ctyz_3",17,27,9,34,22,34,21.75
"613","CTYZ_00002832","Ctyz_3",1,1,NA,NA,1,NA,NA
"614","CTYZ_00002833","Ctyz_3",22,33,7,19,27.5,19,20.25
"615","CTYZ_00002835","Ctyz_3",1,2,NA,1,1.5,1,NA
"616","CTYZ_00002836","Ctyz_3",1,1,NA,2,1,2,NA
"617","CTYZ_00002838","Ctyz_3",9,2,1,NA,5.5,NA,NA
"618","CTYZ_00002839","Ctyz_3",3,6,1,4,4.5,4,3.5
"619","CTYZ_00002840","Ctyz_3",2,1,NA,2,1.5,2,NA
"620","CTYZ_00002847","Ctyz_3",2,5,1,2,3.5,2,2.5
"621","CTYZ_00002848","Ctyz_3",1,1,1,1,1,1,1
"622","CTYZ_00002849","Ctyz_3",1,4,1,4,2.5,4,2.5
"623","CTYZ_00002850","Ctyz_3",2,1,NA,2,1.5,2,NA
"624","CTYZ_00002851","Ctyz_3",1,1,NA,NA,1,NA,NA
"625","CTYZ_00002854","Ctyz_3",1,3,1,2,2,2,1.75
"626","CTYZ_00002855","Ctyz_3",4,NA,NA,3,NA,3,NA
"627","CTYZ_00002861","Ctyz_3",2,1,NA,1,1.5,1,NA
"628","CTYZ_00002864","Ctyz_3",3,3,NA,3,3,3,NA
"629","CTYZ_00002867","Ctyz_3",1,2,1,1,1.5,1,1.25
"630","CTYZ_00002868","Ctyz_3",1,2,1,1,1.5,1,1.25
"631","CTYZ_00002870","Ctyz_3",3,6,NA,6,4.5,6,NA
"632","CTYZ_00002871","Ctyz_3",2,6,2,2,4,2,3
"633","CTYZ_00002872","Ctyz_3",3,NA,NA,3,NA,3,NA
"634","CTYZ_00002873","Ctyz_3",5,3,NA,4,4,4,NA
"635","CTYZ_00002874","Ctyz_3",2,6,2,4,4,4,3.5
"636","CTYZ_00002876","Ctyz_3",2,5,4,2,3.5,2,3.25
"637","CTYZ_00002877","Ctyz_3",1,1,NA,1,1,1,NA
"638","CTYZ_00002878","Ctyz_3",1,1,1,1,1,1,1
"639","CTYZ_00002880","Ctyz_3",5,NA,NA,3,NA,3,NA
"640","CTYZ_00002881","Ctyz_3",2,3,NA,NA,2.5,NA,NA
"641","CTYZ_00002882","Ctyz_3",9,11,1,5,10,5,6.5
"642","CTYZ_00002883","Ctyz_3",8,23,12,9,15.5,9,13
"643","CTYZ_00002884","Ctyz_3",35,10,7,11,22.5,11,15.75
"644","CTYZ_00002885","Ctyz_3",8,13,2,10,10.5,10,8.25
"645","CTYZ_00002887","Ctyz_3",10,10,3,8,10,8,7.75
"646","CTYZ_00002888","Ctyz_3",8,8,2,7,8,7,6.25
"647","CTYZ_00002889","Ctyz_3",3,3,NA,6,3,6,NA
"648","CTYZ_00002890","Ctyz_3",10,21,11,6,15.5,6,12
"649","CTYZ_00002891","Ctyz_3",27,23,2,35,25,35,21.75
"650","CTYZ_00002892","Ctyz_3",5,11,NA,10,8,10,NA
"651","CTYZ_00002893","Ctyz_3",4,4,3,4,4,4,3.75
"652","CTYZ_00002894","Ctyz_3",7,NA,NA,6,NA,6,NA
"653","CTYZ_00002895","Ctyz_3",4,1,NA,1,2.5,1,NA
"654","CTYZ_00002896","Ctyz_3",1,NA,NA,1,NA,1,NA
"655","CTYZ_00002897","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"656","CTYZ_00002898","Ctyz_3",1,1,2,NA,1,NA,NA
"657","CTYZ_00002899","Ctyz_3",6,6,2,5,6,5,4.75
"658","CTYZ_00002900","Ctyz_3",4,1,NA,1,2.5,1,NA
"659","CTYZ_00002901","Ctyz_3",1,1,NA,1,1,1,NA
"660","CTYZ_00002903","Ctyz_3",3,5,2,6,4,6,4
"661","CTYZ_00002904","Ctyz_3",1,2,1,1,1.5,1,1.25
"662","CTYZ_00002906","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"663","CTYZ_00002908","Ctyz_3",1,1,NA,1,1,1,NA
"664","CTYZ_00002912","Ctyz_3",2,1,NA,2,1.5,2,NA
"665","CTYZ_00002913","Ctyz_3",2,6,1,5,4,5,3.5
"666","CTYZ_00002914","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"667","CTYZ_00002916","Ctyz_3",2,1,1,1,1.5,1,1.25
"668","CTYZ_00002918","Ctyz_3",2,NA,NA,1,NA,1,NA
"669","CTYZ_00002919","Ctyz_3",1,1,NA,1,1,1,NA
"670","CTYZ_00002920","Ctyz_3",2,1,1,2,1.5,2,1.5
"671","CTYZ_00002921","Ctyz_3",1,3,NA,2,2,2,NA
"672","CTYZ_00002925","Ctyz_3",2,3,NA,1,2.5,1,NA
"673","CTYZ_00002929","Ctyz_3",6,14,5,5,10,5,7.5
"674","CTYZ_00002934","Ctyz_3",1,2,1,1,1.5,1,1.25
"675","CTYZ_00002935","Ctyz_3",22,20,4,19,21,19,16.25
"676","CTYZ_00002936","Ctyz_3",1,1,2,1,1,1,1.25
"677","CTYZ_00002937","Ctyz_3",2,1,NA,NA,1.5,NA,NA
"678","CTYZ_00002938","Ctyz_3",1,NA,NA,NA,NA,NA,NA
"679","CTYZ_00002940","Ctyz_3",1,1,NA,1,1,1,NA
"680","CTYZ_00002944","Ctyz_3",2,NA,NA,1,NA,1,NA
"681","CTYZ_00002945","Ctyz_3",2,3,2,2,2.5,2,2.25
"682","CTYZ_00002946","Ctyz_3",4,1,NA,5,2.5,5,NA
"683","CTYZ_00002948","Ctyz_3",3,1,NA,4,2,4,NA
"684","CTYZ_00002951","Ctyz_3",3,NA,2,3,NA,3,NA
"685","CTYZ_00002953","Ctyz_3",3,1,1,2,2,2,1.75
"686","CTYZ_00002955","Ctyz_3",11,3,NA,10,7,10,NA
"687","CTYZ_00002956","Ctyz_3",1,NA,1,1,NA,1,NA
"688","CTYZ_00002958","Ctyz_3",1,1,1,1,1,1,1
"689","CTYZ_00002960","Ctyz_3",5,NA,NA,5,NA,5,NA
"690","CTYZ_00002961","Ctyz_3",1,NA,NA,2,NA,2,NA
"691","CTYZ_00002963","Ctyz_3",2,1,1,1,1.5,1,1.25
"692","CTYZ_00002964","Ctyz_3",1,NA,NA,1,NA,1,NA
"693","CTYZ_00002965","Ctyz_3",2,NA,2,2,NA,2,NA
"694","CTYZ_00002966","Ctyz_3",1,NA,NA,1,NA,1,NA
"695","CTYZ_00002971","Ctyz_3",1,1,NA,2,1,2,NA
"696","CTYZ_00002972","Ctyz_3",2,2,3,2,2,2,2.25
"697","CTYZ_00002973","Ctyz_3",2,2,NA,2,2,2,NA
"698","CTYZ_00002975","Ctyz_3",7,2,1,2,4.5,2,3
"699","CTYZ_00002977","Ctyz_3",1,NA,NA,1,NA,1,NA
"700","CTYZ_00002978","Ctyz_3",2,1,NA,3,1.5,3,NA
"701","CTYZ_00002979","Ctyz_3",1,NA,NA,3,NA,3,NA
"702","CTYZ_00002980","Ctyz_3",1,1,3,1,1,1,1.5
"703","CTYZ_00002982","Ctyz_3",4,6,2,7,5,7,4.75
"704","CTYZ_00002983","Ctyz_3",6,2,2,4,4,4,3.5
"705","CTYZ_00002984","Ctyz_3",2,NA,NA,2,NA,2,NA
"706","CTYZ_00002985","Ctyz_3",3,2,NA,5,2.5,5,NA
"707","CTYZ_00002988","Ctyz_3",1,NA,NA,1,NA,1,NA
"708","CTYZ_00002990","Ctyz_3",1,NA,1,1,NA,1,NA
"709","CTYZ_00002991","Ctyz_3",2,2,NA,1,2,1,NA
"710","CTYZ_00002993","Ctyz_3",3,1,1,5,2,5,2.5
"711","CTYZ_00002994","Ctyz_3",2,NA,2,3,NA,3,NA
"712","CTYZ_00002995","Ctyz_3",3,1,1,3,2,3,2
"713","CTYZ_00002996","Ctyz_3",2,NA,NA,2,NA,2,NA
"714","CTYZ_00002997","Ctyz_3",4,1,NA,4,2.5,4,NA
"715","CTYZ_00002998","Ctyz_3",3,NA,NA,1,NA,1,NA
"716","CTYZ_00002999","Ctyz_3",6,1,NA,6,3.5,6,NA
"717","CTYZ_00003002","Ctyz_3",5,NA,NA,5,NA,5,NA
"718","CTYZ_00003003","Ctyz_3",4,NA,NA,5,NA,5,NA
"719","CTYZ_00003004","Ctyz_3",4,NA,NA,3,NA,3,NA
"720","CTYZ_00003005","Ctyz_3",2,NA,NA,2,NA,2,NA
"721","CTYZ_00003006","Ctyz_3",3,1,1,3,2,3,2
"722","CTYZ_00003007","Ctyz_3",2,NA,NA,2,NA,2,NA
"723","CTYZ_00003008","Ctyz_3",1,2,1,2,1.5,2,1.5
"724","CTYZ_00003010","Ctyz_3",8,2,1,8,5,8,4.75
"725","CTYZ_00003011","Ctyz_3",3,4,2,4,3.5,4,3.25
"726","CTYZ_00003013","Ctyz_3",2,NA,1,NA,NA,NA,NA
"727","CTYZ_00003016","Ctyz_3",1,NA,NA,1,NA,1,NA
"728","CTYZ_00003017","Ctyz_3",3,2,2,4,2.5,4,2.75
"729","CTYZ_00003018","Ctyz_3",17,2,2,3,9.5,3,6
"730","CTYZ_00003019","Ctyz_3",1,NA,NA,1,NA,1,NA
